Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/Sigma,Metrics/Xi,Metrics/Rho,Metrics/Dual,Metrics/Primal,Value/Adv_c,Loss/Loss_pi_cost,Loss/Loss_proximal,Train/Weight
-656.9310302734375,0.0,1000.0,0.0,1.3958723545074463,0.012264735996723175,40.0,1.0011186599731445,1.0011186599731445,1.0011186599731445,0.018365489318966866,0.00029940000968053937,0.9772153496742249,20000.0,-0.013130255974829197,-0.013130255974829197,3.3187866677053535e-08,22.546144485473633,22.546144485473633,-0.03375644236803055,0.002783586038276553,0.002783586038276553,0.031256966292858124,72.0941162109375,3.5309231281280518,68.56270599365234,72.09370422363281,277.416748046875,-0.02033236064016819,10.0,4.843353748321533,nan,nan,nan,1.7881393032936899e-09,0.001054355874657631,2.9345784187316895,-0.22861707210540771
-664.601318359375,0.0,1000.0,1.0,1.3747129440307617,0.015715286135673523,40.0,0.9997742772102356,0.9997742772102356,0.9997742772102356,0.0190818440169096,0.00029880000511184335,0.9567732214927673,40000.0,-0.016856687143445015,-0.003726431168615818,1.926422044107312e-08,22.908544540405273,0.3624000549316406,-11.254002571105957,0.00016210284957196563,-0.0026214831887045875,0.017173221334815025,144.5135955810547,3.2460920810699463,69.15247344970703,72.39862060546875,276.24835205078125,-0.03722656890749931,10.0,9.149105072021484,nan,nan,nan,1.8179416305663665e-10,6.098762241890654e-05,2.319624662399292,-0.20220592617988586
-641.683349609375,0.0,1000.0,2.0,1.3596400022506714,0.016592638567090034,40.0,1.0000470876693726,1.0000470876693726,1.0000470876693726,0.019544528797268867,0.0002982000005431473,0.9424559473991394,60000.0,-0.018663393333554268,-0.001806706190109253,-1.4305114426349519e-08,27.04956817626953,4.141023635864258,-20.26173210144043,7.117547647794709e-05,-9.092737309401855e-05,0.01588238589465618,209.6545867919922,2.98677659034729,62.13335418701172,65.12036895751953,307.1235656738281,-0.050204526633024216,10.0,12.937539100646973,nan,nan,nan,3.762543054897094e-11,2.972323818539735e-05,1.7960244417190552,-0.1769685298204422
-596.7378540039062,0.0,1000.0,3.0,1.3423840999603271,0.02108597196638584,40.0,0.9993029832839966,0.9993029832839966,0.9993029832839966,0.021029721945524216,0.0002975999959744513,0.926344096660614,80000.0,-0.022598274052143097,-0.003934880718588829,-7.2479249269008506e-09,27.70577621459961,0.6562080383300781,-25.51315689086914,1.5234067518576921e-07,-7.102313580276132e-05,0.012816145084798336,278.0479431152344,3.0018420219421387,65.37110900878906,68.37300872802734,292.5130920410156,-0.0597640797495842,10.0,16.235063552856445,nan,nan,nan,-9.23872020552885e-11,1.0248277249047533e-06,1.3609800338745117,-0.15316836535930634
-541.8709716796875,0.019999999552965164,1000.0,4.0,1.3242322206497192,0.021828366443514824,34.0,1.0014210939407349,1.0014210939407349,1.0014210939407349,0.02132139913737774,0.0002969999914057553,0.9096906185150146,100000.0,-0.023076791316270828,-0.0004785172641277313,-4.673004205812958e-09,23.833332061767578,-3.8724441528320312,-31.195829391479492,0.00043216327321715653,0.00043201093254197076,0.010667433962225914,335.2039794921875,3.048712730407715,54.087772369384766,57.136539459228516,350.0386962890625,-0.06635613739490509,10.0,19.06846046447754,nan,nan,nan,-2.4735927195429497e-10,8.176240953616798e-05,1.0189144611358643,-0.1307988464832306
-496.4979248046875,0.03999999910593033,1000.0,5.0,1.3027195930480957,0.020303308963775635,25.0,0.998755931854248,0.998755931854248,0.998755931854248,0.02166229486465454,0.00029639998683705926,0.890354335308075,120000.0,-0.02350463904440403,-0.0004278477281332016,6.866454960174906e-09,27.894710540771484,4.061378479003906,-33.96813201904297,0.00043010455556213856,-2.058717655017972e-06,0.009525439701974392,375.69696044921875,3.1629323959350586,37.31098175048828,40.473968505859375,494.144775390625,-0.07041963189840317,10.0,21.47180938720703,nan,nan,nan,-2.250075403775753e-10,-1.0466418416399392e-06,0.7601152062416077,-0.11018253117799759
-459.3390197753906,0.05999999865889549,1000.0,6.0,1.2838358879089355,0.020172543823719025,26.0,0.9988300800323486,0.9988300800323486,0.9988300800323486,0.021260011941194534,0.0002958000113721937,0.8737582564353943,140000.0,-0.023820577189326286,-0.00031593814492225647,1.506805347162299e-08,19.25459098815918,-8.640119552612305,-36.059593200683594,0.0004334199766162783,3.3154210541397333e-06,0.008127002976834774,420.92901611328125,3.1336774826049805,42.08201217651367,45.21575164794922,442.3237609863281,-0.07235774397850037,10.0,23.480810165405273,nan,nan,nan,-3.725290475403709e-12,3.3514941605972126e-05,0.5307514667510986,-0.09137408435344696
-413.3766784667969,0.019999999552965164,1000.0,7.0,1.2612453699111938,0.021113745868206024,22.0,1.000624179840088,1.000624179840088,1.000624179840088,0.021990016102790833,0.00029520000680349767,0.854276716709137,160000.0,-0.023801026865839958,1.9550323486328125e-05,-7.343292196537732e-09,17.315153121948242,-1.9394378662109375,-37.799583435058594,6.572307142960199e-08,-0.0004333542535448487,0.008109076879918575,459.45263671875,2.8775196075439453,35.628543853759766,38.50611877441406,519.3980102539062,-0.07258879393339157,10.0,25.143583297729492,nan,nan,nan,7.59493579138848e-11,5.981067943139351e-07,0.36876699328422546,-0.07494023442268372
-384.01580810546875,0.0,1000.0,8.0,1.239652395248413,0.020546479150652885,17.0,0.9979856610298157,0.9979856610298157,0.9979856610298157,0.022132160142064095,0.00029460000223480165,0.8360616564750671,180000.0,-0.02347676083445549,0.0003242660313844681,5.531310964812519e-09,15.693646430969238,-1.621506690979004,-37.884769439697266,4.3221486833999734e-08,-2.2501584595602253e-08,0.006755752023309469,488.7276306152344,2.9460742473602295,26.313844680786133,29.25998306274414,683.5274047851562,-0.07141563296318054,10.0,26.491212844848633,nan,nan,nan,-8.633359999121737e-11,4.192705205241509e-07,0.2501474618911743,-0.060056813061237335
-334.6753234863281,0.019999999552965164,1000.0,9.0,1.2218772172927856,0.020976847037672997,17.0,0.9985712170600891,0.9985712170600891,0.9985712170600891,0.021902181208133698,0.00029399999766610563,0.8213859796524048,200000.0,-0.024033287540078163,-0.000556526705622673,6.1988831845383174e-09,14.089430809020996,-1.6042156219482422,-37.29768753051758,0.0004321460146456957,0.0004321027931588617,0.005611426662653685,519.47509765625,3.0052192211151123,27.727380752563477,30.73264503479004,650.7738037109375,-0.06909319013357162,10.0,27.55060386657715,nan,nan,nan,7.301569071582747e-11,8.3415789049468e-06,0.1564263254404068,-0.046511370688676834
