Metrics/EpRet,Metrics/EpCost,Metrics/EpLen,Train/Epoch,Train/Entropy,Train/KL,Train/StopIter,Train/PolicyRatio,Train/PolicyRatio/Min,Train/PolicyRatio/Max,Train/PolicyRatio/Std,Train/LR,Train/PolicyStd,TotalEnvSteps,Loss/Loss_pi,Loss/Loss_pi/Delta,Value/Adv,Loss/Loss_reward_critic,Loss/Loss_reward_critic/Delta,Value/reward,Loss/Loss_cost_critic,Loss/Loss_cost_critic/Delta,Value/cost,Time/Total,Time/Rollout,Time/Update,Time/Epoch,Time/FPS,Metrics/LagrangeMultiplier,Metrics/Sigma,Metrics/Xi,Value/Adv_c,Loss/Loss_pi_cost,Loss/Loss_proximal,Train/Weight
-656.9310302734375,0.0,1000.0,0.0,1.4273395538330078,0.006216260138899088,40.0,0.9999569654464722,0.9999569654464722,0.9999569654464722,0.012438678182661533,0.00029940000968053937,1.008440375328064,20000.0,-0.002732244087383151,-0.002732244087383151,3.3187866677053535e-08,22.546144485473633,22.546144485473633,-0.03375644236803055,0.002783586038276553,0.002783586038276553,0.031256966292858124,62.727420806884766,1.9992733001708984,60.72740936279297,62.72671127319336,318.84344482421875,-0.22402909398078918,10.0,2.4992120265960693,1.7881393032936899e-09,-0.0021200699266046286,nan,-2.4743199348449707
-679.4937744140625,0.02500000037252903,1000.0,1.0,1.4335652589797974,0.009995625354349613,40.0,1.0016109943389893,1.0016109943389893,1.0016109943389893,0.013722484931349754,0.00029880000511184335,1.0147403478622437,40000.0,-0.004105688072741032,-0.0013734439853578806,-1.2340545652023138e-07,22.073589324951172,-0.47255516052246094,-11.14854907989502,0.0005933084175921977,-0.0021902776206843555,0.019814394414424896,123.42559051513672,2.570943832397461,58.111061096191406,60.682029724121094,329.5868835449219,-0.4240726828575134,10.0,4.970839977264404,-8.344649971014917e-11,-0.00019862920453306288,nan,-2.424508571624756
-726.7191162109375,0.019999999552965164,1000.0,2.0,1.4399079084396362,0.04404980316758156,16.0,1.0001857280731201,1.0001857280731201,1.0001857280731201,0.017102178186178207,0.0002982000005431473,1.0211987495422363,60000.0,-0.0020579847041517496,0.002047703368589282,1.0643005055044341e-07,34.42430877685547,12.350719451904297,-21.127986907958984,6.413810478989035e-05,-0.0005291703128023073,0.015128268860280514,148.88514709472656,2.888345241546631,22.555267333984375,25.443641662597656,786.051025390625,-0.599914014339447,10.0,7.395824432373047,2.5797634861657315e-11,4.162574987276457e-05,nan,-2.3583273887634277
-792.353271484375,0.05999999865889549,1000.0,3.0,1.4488965272903442,0.04043292626738548,36.0,1.0015285015106201,1.0015285015106201,1.0015285015106201,0.019156059250235558,0.0002975999959744513,1.0304219722747803,80000.0,-0.005171868950128555,-0.0031138842459768057,1.1196136284752356e-07,46.30378723144531,11.879478454589844,-30.63526725769043,0.001453904784284532,0.0013897666794946417,0.012949327006936073,208.70578002929688,2.881239414215088,56.92755126953125,59.80881881713867,334.39886474609375,-0.7518154978752136,10.0,9.750189781188965,1.0430812463768646e-11,-0.00034030055394396186,nan,-2.2708306312561035
-863.9138793945312,0.03999999910593033,1000.0,4.0,1.4575779438018799,0.02079862914979458,22.0,1.0016154050827026,1.0016154050827026,1.0016154050827026,0.018489636480808258,0.0002969999914057553,1.0394155979156494,100000.0,-0.005061290692538023,0.0001105782575905323,-1.2035370389185118e-07,51.452857971191406,5.149070739746094,-40.49612045288086,1.2130500692819624e-07,-0.0014537834792776039,0.011295439675450325,242.21778869628906,2.7258071899414062,30.77149200439453,33.4973258972168,597.0625610351562,-0.8811856508255005,10.0,12.02298641204834,-1.6819685921820593e-10,-8.060237632889766e-07,nan,-2.174887180328369
-980.4600830078125,0.019999999552965164,1000.0,5.0,1.4643070697784424,0.031059671193361282,17.0,1.0027334690093994,1.0027334690093994,1.0027334690093994,0.019221225753426552,0.00029639998683705926,1.0464551448822021,120000.0,-0.004744280595332384,0.0003170100972056389,9.884834639706241e-08,65.68756866455078,14.234710693359375,-52.147029876708984,0.00043229639413766563,0.00043217508913073743,0.009425022639334202,272.7667236328125,3.094332218170166,27.441818237304688,30.536176681518555,654.9608764648438,-0.9889874458312988,10.0,14.19987964630127,-3.948807600351323e-11,-6.070306335459463e-05,nan,-2.0670056343078613
-1123.762939453125,0.019999999552965164,1000.0,6.0,1.4695543050765991,0.03301765024662018,9.0,1.0009799003601074,1.0009799003601074,1.0009799003601074,0.019639967009425163,0.0002958000113721937,1.0519680976867676,140000.0,-0.002968651708215475,0.001775628887116909,-7.281303737727285e-08,75.38933563232422,9.701766967773438,-64.44940948486328,6.911780303653359e-08,-0.0004322272763346291,0.008260756731033325,288.45843505859375,2.9274396896362305,12.752424240112305,15.67989444732666,1275.5189208984375,-1.0761187076568604,10.0,16.266878128051758,7.553026259987661e-11,-1.8549016544966435e-07,nan,-1.9474308490753174
-1258.3258056640625,0.019999999552965164,1000.0,7.0,1.4760947227478027,0.027595752850174904,6.0,1.0006877183914185,1.0006877183914185,1.0006877183914185,0.02115008607506752,0.00029520000680349767,1.0588734149932861,160000.0,-0.0012484213802963495,0.0017202303279191256,2.5939941750152684e-08,77.92803192138672,2.5386962890625,-73.41692352294922,4.720900648180759e-08,-2.1908796554725996e-08,0.006888454779982567,302.1377258300781,2.8415589332580566,10.827016830444336,13.668601989746094,1463.2073974609375,-1.1437755823135376,10.0,18.214309692382812,-1.6395934610002882e-10,-5.245816510068835e-07,nan,-1.8203446865081787
-1340.6778564453125,0.019999999552965164,1000.0,8.0,1.4799326658248901,0.03987783193588257,1.0,1.0028430223464966,1.0028430223464966,1.0028430223464966,0.025946862995624542,0.00029460000223480165,1.0629479885101318,180000.0,6.658200618403498e-06,0.001255079580914753,4.673004205812958e-09,92.46533203125,14.537300109863281,-78.45814514160156,0.0004333631950430572,0.0004333159860365754,0.005736920051276684,306.3033447265625,2.6704704761505127,1.4851160049438477,4.155612945556641,4812.7685546875,-1.1932293176651,10.0,20.034656524658203,4.0233136266998315e-11,-2.5814133550738916e-05,nan,-1.6877663135528564
-1413.4710693359375,0.03999999910593033,1000.0,9.0,1.4851661920547485,0.03195882961153984,1.0,0.9964955449104309,0.9964955449104309,0.9964955449104309,0.02819790132343769,0.00029399999766610563,1.068515419960022,200000.0,-0.00033554149558767676,-0.00034219969620608026,1.907348723406699e-09,102.18511199951172,9.719779968261719,-87.90352630615234,0.0004322996246628463,-1.0635703802108765e-06,0.006020121742039919,310.6844482421875,2.9461095333099365,1.4228198528289795,4.368957042694092,4577.751953125,-1.2256253957748413,10.0,21.72042465209961,6.631016569169645e-11,-3.717773506650701e-05,nan,-1.5495866537094116
